asset,auto_aic,auto_buy_hold_pct,auto_excess_pct,auto_order,auto_strategy_pct,bars,fixed_buy_hold_pct,fixed_excess_pct,fixed_strategy_pct,fixed_verdict,signals,vs_fixed
NIFTY weekly,,,,,,204,15.7761,-23.4825,-7.7064,loss-making,40,
NIFTY 2-weekly,,,,,,103,9.2522,-19.1397,-9.8875,loss-making,40,
NIFTY monthly,,,,,,47,15.7761,-18.7309,-2.9548,loss-making,10,
NIFTY wk 1st-half,,,,,,102,5.9862,16.7668,22.753,profitable,40,
NIFTY wk 2nd-half,,,,,,102,15.7761,-23.4825,-7.7064,loss-making,40,
NIFTY weekly,1121.1146,15.7761,-23.4825,"(2, 1, 0)",-7.7064,,,-23.4825,,,,worse/same
NIFTY 2-weekly,1138.9496,9.2522,-19.1397,"(2, 1, 0)",-9.8875,,,-19.1397,,,,worse/same
NIFTY monthly,571.8626,15.7761,-18.7309,"(2, 1, 0)",-2.9548,,,-18.7309,,,,worse/same
NIFTY wk 1st-half,995.6203,5.9862,16.7668,"(2, 1, 0)",22.753,,,16.7668,,,,worse/same
NIFTY wk 2nd-half,1121.1146,15.7761,-23.4825,"(2, 1, 0)",-7.7064,,,-23.4825,,,,worse/same
