date,phase,weekday,pnl,is_thursday
2021-01-04,backtest_1000_obs,Monday,1.934331,False
2021-01-05,backtest_1000_obs,Tuesday,0.378051,False
2021-01-06,backtest_1000_obs,Wednesday,1.738936,False
2021-01-07,backtest_1000_obs,Thursday,-0.811522,True
2021-01-08,backtest_1000_obs,Friday,-0.839303,False
2021-01-11,backtest_1000_obs,Monday,-0.141667,False
2021-01-12,backtest_1000_obs,Tuesday,-0.56533,False
2021-01-13,backtest_1000_obs,Wednesday,0.494309,False
2021-01-14,backtest_1000_obs,Thursday,-1.761857,True
2021-01-15,backtest_1000_obs,Friday,1.698757,False
2021-01-18,backtest_1000_obs,Monday,0.823616,False
2021-01-19,backtest_1000_obs,Tuesday,-0.040373,False
2021-01-20,backtest_1000_obs,Wednesday,0.558467,False
2021-01-21,backtest_1000_obs,Thursday,-1.172146,True
2021-01-22,backtest_1000_obs,Friday,1.631407,False
2021-01-25,backtest_1000_obs,Monday,0.274389,False
2021-01-26,backtest_1000_obs,Tuesday,0.780477,False
2021-01-27,backtest_1000_obs,Wednesday,-1.190379,False
2021-01-28,backtest_1000_obs,Thursday,-0.503476,True
2021-01-29,backtest_1000_obs,Friday,0.683068,False
2021-02-01,backtest_1000_obs,Monday,0.292015,False
2021-02-02,backtest_1000_obs,Tuesday,1.465386,False
2021-02-03,backtest_1000_obs,Wednesday,0.142633,False
2021-02-04,backtest_1000_obs,Thursday,0.905018,True
2021-02-05,backtest_1000_obs,Friday,-0.932362,False
2021-02-08,backtest_1000_obs,Monday,-0.752748,False
2021-02-09,backtest_1000_obs,Tuesday,1.174283,False
2021-02-10,backtest_1000_obs,Wednesday,-0.31394,False
2021-02-11,backtest_1000_obs,Thursday,-0.609535,True
2021-02-12,backtest_1000_obs,Friday,0.685695,False
2021-02-15,backtest_1000_obs,Monday,-0.02115,False
2021-02-16,backtest_1000_obs,Tuesday,-0.270298,False
2021-02-17,backtest_1000_obs,Wednesday,-1.152287,False
2021-02-18,backtest_1000_obs,Thursday,-0.487728,True
2021-02-19,backtest_1000_obs,Friday,1.549859,False
2021-02-22,backtest_1000_obs,Monday,-0.153772,False
2021-02-23,backtest_1000_obs,Tuesday,-0.011924,False
2021-02-24,backtest_1000_obs,Wednesday,0.509826,False
2021-02-25,backtest_1000_obs,Thursday,-1.249433,True
2021-02-26,backtest_1000_obs,Friday,0.613357,False
2021-03-01,backtest_1000_obs,Monday,1.293056,False
