expiry_days,strike,moneyness,implied_vol
7,80,-0.2,0.25291
7,90,-0.1,0.22491
7,95,-0.05,0.21091
7,100,0.0,0.19691
7,105,0.05,0.20191
7,110,0.1,0.20691
7,120,0.2,0.21691
21,80,-0.2,0.25628
21,90,-0.1,0.22828
21,95,-0.05,0.21428
21,100,0.0,0.20028
21,105,0.05,0.20528
21,110,0.1,0.21028
21,120,0.2,0.22028
45,80,-0.2,0.25873
45,90,-0.1,0.23073
45,95,-0.05,0.21673
45,100,0.0,0.20273
45,105,0.05,0.20773
45,110,0.1,0.21273
45,120,0.2,0.22273
90,80,-0.2,0.261
90,90,-0.1,0.233
90,95,-0.05,0.219
90,100,0.0,0.205
90,105,0.05,0.21
90,110,0.1,0.215
90,120,0.2,0.225
