S,delta,gamma,lower_delta_band,upper_delta_band,band_half_width
80.0,0.0788832,0.01225774,0.04539281,0.11237359,0.03349039
84.0,0.13843977,0.01753061,0.09523075,0.1816488,0.04320902
88.0,0.21851376,0.0223441,0.16692526,0.27010226,0.0515885
92.0,0.31530182,0.02575237,0.2577458,0.37285784,0.05755602
96.0,0.4218564,0.02717113,0.36135312,0.48235968,0.06050328
100.0,0.52989264,0.02652146,0.46954205,0.59024324,0.0603506
104.0,0.6317423,0.02416582,0.57427394,0.68921066,0.05746836
108.0,0.72175856,0.02071567,0.66924269,0.77427442,0.05251587
112.0,0.79687887,0.01681973,0.75061571,0.84314203,0.04626316
116.0,0.85644133,0.01301109,0.81699757,0.8958851,0.03944377
120.0,0.90155746,0.00963863,0.86889712,0.93421781,0.03266035
