order,feature,family,in_shap_selected_18
1,returns_1d,basic_return_volatility,yes
2,returns_5d,basic_return_volatility,no
3,volatility_20d,basic_return_volatility,no
4,hurst_252,market_microstructure,no
5,kyles_lambda,market_microstructure,yes
6,bekker_parkinson_vol,market_microstructure,yes
7,amihuds_lambda,market_microstructure,yes
8,fractal_dimension,market_microstructure,no
9,permutation_entropy,market_microstructure,yes
10,roll_measure,market_microstructure,no
11,corwin_schultz_spread,market_microstructure,yes
12,hasbroucks_lambda,market_microstructure,no
13,SMA_10,technical_trend,no
14,SMA_20,technical_trend,no
15,SMA_50,technical_trend,yes
16,EMA_10,technical_trend,yes
17,EMA_20,technical_trend,no
18,EMA_50,technical_trend,no
19,BBANDS_upper,technical_volatility,no
20,BBANDS_middle,technical_volatility,no
21,BBANDS_lower,technical_volatility,yes
22,DEMA_20,technical_trend,no
23,TEMA_20,technical_trend,no
24,WMA_20,technical_trend,no
25,MAMA,technical_trend,no
26,FAMA,technical_trend,no
27,SAR,technical_trend,no
28,RSI_14,technical_momentum,no
29,MACD,technical_momentum,no
30,MACD_signal,technical_momentum,no
31,MACD_hist,technical_momentum,no
32,STOCH_k,technical_momentum,no
33,STOCH_d,technical_momentum,no
34,STOCHRSI_k,technical_momentum,no
35,STOCHRSI_d,technical_momentum,no
36,ADX_14,technical_momentum,no
37,ADXR_14,technical_momentum,yes
38,PLUS_DI,technical_momentum,no
39,MINUS_DI,technical_momentum,no
40,PLUS_DM,technical_momentum,no
41,MINUS_DM,technical_momentum,no
42,DX,technical_momentum,no
43,AROON_down,technical_momentum,no
44,AROON_up,technical_momentum,no
45,AROONOSC,technical_momentum,yes
46,BOP,technical_momentum,no
47,CCI_14,technical_momentum,yes
48,CMO_14,technical_momentum,no
49,MFI_14,technical_momentum,no
50,MOM_10,technical_momentum,no
51,PPO,technical_momentum,yes
52,ROC_10,technical_momentum,no
53,ROCP_10,technical_momentum,no
54,ROCR_10,technical_momentum,no
55,TRIX_14,technical_momentum,no
56,ULTOSC,technical_momentum,yes
57,WILLR_14,technical_momentum,yes
58,CDL_DOJI,candlestick_pattern,no
59,CDL_HAMMER,candlestick_pattern,no
60,CDL_INVERTED_HAMMER,candlestick_pattern,no
61,CDL_HANGING_MAN,candlestick_pattern,no
62,CDL_SHOOTING_STAR,candlestick_pattern,no
63,CDL_MORNING_STAR,candlestick_pattern,no
64,CDL_EVENING_STAR,candlestick_pattern,no
65,CDL_ENGULFING,candlestick_pattern,no
66,CDL_HARAMI,candlestick_pattern,no
67,CDL_PIERCING,candlestick_pattern,no
68,CDL_DARK_CLOUD_COVER,candlestick_pattern,no
69,CDL_3_WHITE_SOLDIERS,candlestick_pattern,no
70,CDL_3_BLACK_CROWS,candlestick_pattern,no
71,CDL_3_LINE_STRIKE,candlestick_pattern,no
72,CDL_RISEFALL_3_METHODS,candlestick_pattern,no
73,CDL_SPINNING_TOP,candlestick_pattern,no
74,CDL_MARUBOZU,candlestick_pattern,no
75,CDL_DRAGONFLY_DOJI,candlestick_pattern,no
76,CDL_GRAVESTONE_DOJI,candlestick_pattern,no
77,CDL_ABANDONED_BABY,candlestick_pattern,no
78,CDL_KICKING,candlestick_pattern,no
79,ATR_14,technical_volatility,yes
80,NATR_14,technical_volatility,no
81,TRANGE,technical_volatility,no
82,HT_DCPERIOD,hilbert_cycle,yes
83,HT_DCPHASE,hilbert_cycle,no
84,HT_PHASOR_inphase,hilbert_cycle,no
85,HT_PHASOR_quadrature,hilbert_cycle,no
86,HT_SINE_sine,hilbert_cycle,no
87,HT_SINE_leadsine,hilbert_cycle,yes
88,HT_TRENDMODE,hilbert_cycle,no
