file,size_bytes,batch,role,suffix
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.gitignore,294,Batch 68 Onwards,other,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.pytest_cache/.gitignore,37,Batch 68 Onwards,build_or_cache,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.pytest_cache/CACHEDIR.TAG,191,Batch 68 Onwards,build_or_cache,.tag
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.pytest_cache/README.md,302,Batch 68 Onwards,build_or_cache,.md
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.pytest_cache/v/cache/lastfailed,2,Batch 68 Onwards,build_or_cache,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.pytest_cache/v/cache/nodeids,556,Batch 68 Onwards,build_or_cache,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/.python-version,5,Batch 68 Onwards,other,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/analysis/.gitkeep,0,Batch 68 Onwards,other,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/benchmark_results.pkl,203,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/dummy_model.pkl,871,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/final_model.pkl,152069,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/full_features_model.pkl,700,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/full_results.pkl,1400,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/microstructure_model.pkl,169844,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/microstructure_results.pkl,425,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/shap_results.pkl,2156,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/shap_selected_model.pkl,173716,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/simple_model.pkl,700,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/simple_results.pkl,249,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/test_results.pkl,649,Batch 68 Onwards,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/models/tuned_model.pkl,150163,Batch 68 Onwards,model_or_result_pickle,.pkl
