zip,file,size_bytes,role
MLT-07-Inclass-Exercises-File.zip,__MACOSX/._MLT-07_ Inclass Exercises File,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Synthetic Time Series.ipynb,130609,notebook
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._Synthetic Time Series.ipynb,583,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/RL Main.ipynb,95651,notebook
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._RL Main.ipynb,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Action.ipynb,2352,notebook
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/indicator_model.weights.h5,251816,data_or_model
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.DS_Store,6148,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._.DS_Store,120,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/pnls.pick,2284,data_or_model
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._pnls.pick,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Performance Analysis.ipynb,10128472,notebook
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._Performance Analysis.ipynb,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/MLT-07_data_PriceData.pick,24870642,data_or_model
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._MLT-07_data_PriceData.pick,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Reward.ipynb,129682,notebook
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._Reward.ipynb,416,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/State.ipynb,14778,notebook
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Bellman.ipynb,4469,notebook
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Double Q Network.ipynb,4227,notebook
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/Experience. Replay.ipynb,4523,notebook
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/._.ipynb_checkpoints,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Synthetic Time Series-checkpoint.ipynb,130609,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/.ipynb_checkpoints/._Synthetic Time Series-checkpoint.ipynb,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Double Q Network-checkpoint.ipynb,4227,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Action-checkpoint.ipynb,2351,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/RL Main-checkpoint.ipynb,95651,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/.ipynb_checkpoints/._RL Main-checkpoint.ipynb,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Reward-checkpoint.ipynb,129682,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Performance Analysis-checkpoint.ipynb,10128472,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,__MACOSX/MLT-07_ Inclass Exercises File/.ipynb_checkpoints/._Performance Analysis-checkpoint.ipynb,176,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Experience. Replay-checkpoint.ipynb,4770,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/State-checkpoint.ipynb,14778,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/Bellman-checkpoint.ipynb,72,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/pnls.pick,63610,data_or_model
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/.ipynb_checkpoints/ReinforcementLearningLecture-checkpoint.ipynb,35627,metadata_or_checkpoint
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07_code_ReinforcementLearningLecture.ipynb,35627,notebook
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07__code_pnl.csv,1204,data_or_model
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07_code_indicator_model.weights.h5,251816,data_or_model
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07_.gitignore,25,other
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07_code_PlotPnLs.ipynb,2277,notebook
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07_other_README.md,16,other
MLT-07-Inclass-Exercises-File-For-Dr.-Thomas-Starkes-session.zip,MLT-07_ Inclass Exercises File/MLT-07_data_PriceData.pick,24870642,data_or_model
