Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
01-01-2015,304.5421448,704.9194336,487.2504883,1848.474365,339.8959351,127.9796448,136.0835114,318.4624329,797.6494141,597.9382324,183.5420837,801.2507324,2960.148926,1334.235352,501.3452759,326.180481,446.3565063,,2377.752197,148.5941162,657.677124,292.4035339,191.1795502,33.25307083,773.119812,392.7296143,88.3164978,626.2008057,863.0367432,562.1834106,3066.698975,80.58248138,5619.01123,150.6959534,71.91871643,416.5175781,,9058.436523,290.288208,771.7070313,1065.139038,134.367569,491.4290771,14.13361454,504.3950195,360.7337952,205.8947449,2579.385986,194.8989716
02-01-2015,304.351532,729.2903442,498.1472168,1848.173218,334.4619446,126.8904495,134.0449829,320.3490906,818.140564,599.6035156,184.3630676,804.6706543,2970.198975,1318.4646,515.0780029,325.8658752,452.568573,,2372.163086,150.1414795,655.5091553,300.7033997,191.7783508,33.07022095,776.8331299,400.4473572,88.58577728,632.6438599,881.2398682,556.5481567,3084.002686,81.68556976,5631.062012,152.9517059,72.78425598,415.4151917,,9008.547852,291.4437866,775.5083008,1079.32373,135.9724884,504.5910339,14.35377026,506.8639832,363.5831909,212.3138733,2656.500977,196.6277924
05-01-2015,308.5924988,729.2433472,501.295105,1854.919556,333.5878601,125.2043915,134.3049927,313.2409363,818.7067871,602.3153687,183.6386871,799.8277588,2902.891113,1324.461792,517.015564,320.3848877,448.7476196,,2388.47168,147.0936432,659.2813721,301.3258667,192.5334015,33.42602921,779.8797607,397.0062256,88.37450409,630.1063843,893.4995117,553.7305298,3164.967529,81.45929718,5634.087402,154.6817932,72.86293793,410.8648987,,8985.990234,289.1325684,775.9775391,1062.921265,136.3737335,516.4219971,14.56169605,498.4072876,366.5275574,208.3659515,2661.92627,196.9805908
06-01-2015,306.7340698,711.8353882,483.3761292,1840.446411,332.7234802,122.3097839,132.9528961,310.7838135,819.5995483,584.5693359,183.4937897,768.5205078,2826.502441,1289.961426,497.3006287,311.8283691,441.7619019,,2308.074951,143.8582153,671.7680664,288.5440979,187.5866547,33.05540085,760.1710205,388.7116089,85.15137482,622.5935059,863.6971436,550.6403198,3116.72876,78.74398041,5555.731934,145.9217072,71.23679352,392.2179565,,8767.487305,277.2529602,758.8952637,1023.734619,132.0939484,494.3375244,13.85580063,493.0612183,353.9902039,198.2701263,2587.233154,192.3762817
07-01-2015,306.0193176,726.1381226,482.9887085,1844.743042,339.4977722,122.2053604,134.1593475,311.5296936,869.1831665,582.2858276,180.9583282,757.2736206,2802.206787,1307.795288,503.5554504,304.4187622,443.0512085,,2277.179932,139.6381531,695.354187,280.7422791,184.0978546,33.11470032,754.0297852,390.5714417,83.83813477,632.6189575,861.6298828,556.3209839,3155.741943,80.63903046,5578.989746,148.0679474,72.2596817,400.7557068,,8755.556641,277.4840393,760.0686035,1011.642334,132.3614349,486.8938904,13.59021664,490.7575073,355.7948608,194.7139893,2577.012451,190.9120789
08-01-2015,318.8376465,771.9158325,486.1850891,1847.155396,338.9198303,128.2979279,140.9510651,316.9267273,857.6201172,588.2328491,183.2523041,758.8345947,2827.194092,1300.259521,504.6531982,311.4630737,452.357666,,2284.79834,143.0610962,708.4910889,288.3781738,188.7061768,33.94985199,760.456604,392.5406189,84.68738556,667.0238037,867.1137695,562.4333496,3190.39502,81.99668884,5603.446777,149.7104492,72.57443237,395.0091248,,8849.980469,281.8291626,768.5158081,1022.563477,137.04245,504.788208,13.8016367,498.9711304,354.1801453,200.5906677,2642.30835,192.2880859
09-01-2015,315.5973206,764.5291748,479.4049072,1790.958252,335.0738525,127.2435532,141.3151093,312.231781,847.2113647,601.6967773,181.1273346,781.4197998,2917.09082,1288.457764,501.6473999,313.7468567,457.4210815,,2291.115234,145.3586884,749.7232056,283.7301941,185.8422394,33.77194595,763.5986328,412.6306458,83.92925262,677.1237183,861.4862671,562.7059937,3183.694092,79.33795929,5679.84375,153.7400665,72.62689209,403.5703125,,8875.625977,280.3037415,779.0750732,1051.22583,138.7365417,514.9431152,13.96587658,521.0751343,354.1801453,200.3194275,2644.149414,195.2870789
12-01-2015,313.0241699,760.0595093,485.7976074,1759.410889,333.9229736,126.0996246,140.7014618,306.2205505,841.4188843,600.1743774,172.8207397,783.2790527,2957.152832,1298.856567,506.2150879,319.836731,453.3890686,,2248.926025,141.7013092,777.4714355,287.6311035,186.3369141,33.55451965,789.7341919,420.8854675,82.91426849,682.1240234,880.9813232,560.3428345,3178.828857,79.1965332,5747.792969,152.2947083,71.60398102,398.8792725,,8888.90918,283.9092712,784.0024414,1050.137939,140.2968597,514.9431152,13.86453724,535.3930664,357.8843689,199.2646484,2616.006104,196.1867676
13-01-2015,307.8301086,784.6187744,488.6549683,1751.948242,338.2739563,127.9647141,139.2765503,303.89505,842.0286865,605.5505371,174.4386139,791.3582153,2971.996826,1293.742432,522.5410767,321.4708557,451.6543579,,2215.274658,142.2639771,767.022583,282.9417114,187.5085144,33.61875534,785.9733887,415.5048828,82.31355286,693.0449219,872.5402222,567.5232544,3183.73999,78.60256958,5971.824707,148.9001465,71.26303864,395.525177,,8917.741211,282.0603027,781.937561,1045.200439,138.4244843,512.1332397,13.6810751,536.7733154,353.5153809,207.7933655,2730.516113,198.8153076
14-01-2015,315.692627,792.8989868,483.908844,1781.61084,366.5314026,124.7567825,135.5634766,303.4562988,847.5380249,600.7928467,175.4045105,782.8198853,2958.074707,1296.749634,525.5542603,320.4964905,451.9122009,,2222.81665,133.3079834,801.2744141,279.6217957,181.1037292,33.17893219,777.5471191,423.4115295,80.22557068,692.1742554,871.678894,562.1378784,3227.572998,77.92372894,6031.591309,150.6959534,71.36791229,391.6785583,,8947.206055,281.6904297,770.2521973,1055.263672,138.0677948,513.0205688,13.16912842,542.6930542,352.9454956,215.900177,2818.045898,194.7402191
