portfolio,asset,weight_pct
minimum_volatility,CIPLA,25.087
minimum_volatility,EICHERMOT,6.5025
minimum_volatility,COALINDIA,14.2089
minimum_volatility,HINDUNILVR,24.9988
minimum_volatility,NESTLEIND,26.0456
minimum_volatility,ONGC,3.1571
maximum_sharpe,CIPLA,4.9601
maximum_sharpe,EICHERMOT,14.0594
maximum_sharpe,COALINDIA,0.1953
maximum_sharpe,HINDUNILVR,43.9816
maximum_sharpe,NESTLEIND,33.6741
maximum_sharpe,ONGC,3.1295
maximum_return,CIPLA,7.1187
maximum_return,EICHERMOT,0.7015
maximum_return,COALINDIA,0.5898
maximum_return,HINDUNILVR,80.8936
maximum_return,NESTLEIND,7.5521
maximum_return,ONGC,3.1442
