,Company Name,Industry,Symbol,Series,ISIN Code,ROE
0,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,16.3
1,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE742F01042,10.0
2,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,22.7
3,Aurobindo Pharma Ltd.,Pharma,AUROPHARMA,EQ,INE021A01026,20.0
4,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,7.0
5,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,21.2
6,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,19.9
7,Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011,19.4
8,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,0.6
9,Indus Towers Ltd,TELECOM,INDUSTOWER,EQ,INE121J01017,17.2
10,Bosch Ltd.,Automobile,BOSCHLTD,EQ,INE216A01030,15.0
11,Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,10.2
12,Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,66.0
13,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,13.9
14,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013,24.7
15,GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019,13.7
16,HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,24.5
18,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,26.3
19,Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,2.5
20,Hindustan Petroleum,ENERGY,HINDPETRO,EQ,INE038A01020,21.0
21,Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,78.8
22,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,14.5
23,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,3.2
25,ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,21.5
26,Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010,15.5
27,IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,12.5
28,Infosys Ltd.,IT,INFY,EQ,INE009A01021,23.7
29,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,12.5
30,Lupin,Pharma,LUPIN,EQ,INE237A01028,0.01
31,Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,14.3
32,Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,14.0
33,Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,16.3
34,NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010,10.9
35,Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029,13.2
36,Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010,16.8
37,Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018,10.2
38,State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,1.1
39,Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,6.4
40,Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,35.2
41,Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,-47.9
42,Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,15.3
43,Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,21.2
44,UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,9.9
45,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,8.6
46,Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,11.3
47,Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,16.0
48,Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027,6.4
49,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028,17.6
