Symbol,Date,Expiry,days_to_expiry,Close,Underlying Value,Open Int,Change in OI,CoC
TATACHEM,2016-12-30,2017-01-25,26,503,503.0,3958500.0,328500.0,0.0
TATACHEM,2017-01-02,2017-01-25,23,509.2,506.95,4092000.0,133500.0,2.25
TATACHEM,2017-01-03,2017-01-25,22,509.85,509.75,4045500.0,-46500.0,0.10000000000002274
TATACHEM,2017-01-04,2017-01-25,21,507,505.1,4140000.0,94500.0,1.8999999999999773
TATACHEM,2017-01-05,2017-01-25,20,510.7,508.15,4245000.0,105000.0,2.5500000000000114
TATACHEM,2017-01-06,2017-01-25,19,509.1,507.8,4365000.0,120000.0,1.3000000000000114
TATACHEM,2017-01-09,2017-01-25,16,513.25,512.4,4450500.0,85500.0,0.8500000000000227
TATACHEM,2017-01-10,2017-01-25,15,510.9,510.25,4609500.0,159000.0,0.6499999999999773
TATACHEM,2017-01-11,2017-01-25,14,519.65,517.8,4855500.0,246000.0,1.8500000000000227
TATACHEM,2017-01-12,2017-01-25,13,517.55,515.45,4906500.0,51000.0,2.099999999999909
TATACHEM,2017-01-13,2017-01-25,12,518.75,517.6,4863000.0,-43500.0,1.1499999999999773
TATACHEM,2017-01-16,2017-01-25,9,520.45,518.45,4914000.0,51000.0,2.0
TATACHEM,2017-01-17,2017-01-25,8,522.9,521.5,4848000.0,-66000.0,1.3999999999999773
TATACHEM,2017-01-18,2017-01-25,7,529.5,529.35,4746000.0,-102000.0,0.14999999999997726
TATACHEM,2017-01-19,2017-01-25,6,526.95,526.8,4683000.0,-63000.0,0.15000000000009095
TATACHEM,2017-01-20,2017-01-25,5,514.15,512.8,4387500.0,-295500.0,1.3500000000000227
TATACHEM,2017-01-23,2017-01-25,2,513.45,512.15,3492000.0,-895500.0,1.3000000000000682
TATACHEM,2017-01-24,2017-01-25,1,522.45,520.85,2053500.0,-1438500.0,1.6000000000000227
TATACHEM,2017-01-25,2017-01-25,0,540.85,541.3,693000.0,-1360500.0,
MARUTI,2016-12-30,2017-01-25,26,5327.6,5319.55,2054250.0,27000.0,8.050000000000182
MARUTI,2017-01-02,2017-01-25,23,5478.95,5466.0,2268450.0,214200.0,12.949999999999818
MARUTI,2017-01-03,2017-01-25,22,5511.8,5508.4,2270100.0,1650.0,3.4000000000005457
MARUTI,2017-01-04,2017-01-25,21,5517.3,5502.15,2233050.0,-37050.0,15.150000000000546
MARUTI,2017-01-05,2017-01-25,20,5640.6,5634.95,2267550.0,34500.0,5.650000000000546
MARUTI,2017-01-06,2017-01-25,19,5629.85,5615.55,2240550.0,-27000.0,14.300000000000182
MARUTI,2017-01-09,2017-01-25,16,5665.15,5658.5,2247750.0,7200.0,6.649999999999636
MARUTI,2017-01-10,2017-01-25,15,5696.95,5674.85,2240400.0,-7350.0,22.099999999999454
MARUTI,2017-01-11,2017-01-25,14,5764.4,5762.35,2278200.0,37800.0,2.0499999999992724
MARUTI,2017-01-12,2017-01-25,13,5784.85,5777.35,2296050.0,17850.0,7.5
MARUTI,2017-01-13,2017-01-25,12,5722.1,5699.5,2248200.0,-47850.0,22.600000000000364
MARUTI,2017-01-16,2017-01-25,9,5698.45,5676.9,2256600.0,8400.0,21.550000000000182
MARUTI,2017-01-17,2017-01-25,8,5687.1,5669.4,2250450.0,-6150.0,17.700000000000728
MARUTI,2017-01-18,2017-01-25,7,5698.6,5684.45,2190450.0,-60000.0,14.150000000000546
MARUTI,2017-01-19,2017-01-25,6,5730.55,5718.35,2078100.0,-112350.0,12.199999999999818
MARUTI,2017-01-20,2017-01-25,5,5676.4,5668.95,1744350.0,-333750.0,7.449999999999818
MARUTI,2017-01-23,2017-01-25,2,5701.5,5700.0,1290900.0,-453450.0,1.5
MARUTI,2017-01-24,2017-01-25,1,5744.15,5737.2,1044600.0,-246300.0,6.949999999999818
MARUTI,2017-01-25,2017-01-25,0,5793.15,5802.55,636450.0,-408150.0,
