Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2024-02-19,EQ,1429.0,1429.0,1415.2,1419.9,1419.0,1417.1,1420.94,1757.5,1363.55,17225878,24476880448.95,296087
2024-02-20,EQ,1415.0,1457.25,1411.8,1417.1,1453.0,1454.3,1443.09,1757.5,1363.55,28066754,40502822506.55,518597
2024-02-21,EQ,1464.0,1464.0,1435.0,1454.3,1436.0,1439.15,1446.29,1757.5,1363.55,22946568,33187313941.5,493970
2024-02-22,EQ,1417.75,1428.8,1412.2,1439.15,1422.0,1419.55,1419.78,1757.5,1363.55,25280441,35892743575.45,477326
2024-02-23,EQ,1422.55,1433.9,1418.0,1419.55,1419.45,1420.6,1425.27,1757.5,1363.55,14916726,21260419308.0,335851
2024-02-26,EQ,1413.55,1434.85,1413.55,1420.6,1421.95,1422.3,1426.02,1757.5,1363.55,11753435,16760578868.05,381979
2024-02-27,EQ,1413.55,1426.7,1413.05,1422.3,1421.9,1420.15,1419.95,1757.5,1363.55,16043575,22781119940.6,384714
2024-02-28,EQ,1420.15,1424.2,1404.0,1420.15,1406.15,1409.4,1414.58,1757.5,1363.55,12660993,17910038294.1,302672
2024-02-29,EQ,1402.1,1410.4,1397.3,1409.4,1407.8,1403.4,1403.21,1757.5,1363.55,26647850,37392569225.7,567422
2024-03-01,EQ,1400.0,1432.75,1400.0,1403.4,1429.3,1430.75,1419.53,1757.5,1363.55,17369449,24656507108.45,430030
2024-03-02,EQ,1434.55,1436.0,1428.1,1430.75,1430.95,1430.75,1431.16,1757.5,1363.55,895265,1281270465.1,27274
2024-03-04,EQ,1430.95,1437.0,1424.3,1430.75,1432.0,1432.7,1430.81,1757.5,1363.55,17808237,25480270998.65,320401
2024-03-05,EQ,1422.0,1443.0,1421.65,1432.7,1439.2,1440.85,1432.7,1757.5,1363.55,18995836,27215248874.45,345780
2024-03-06,EQ,1433.55,1452.85,1433.55,1440.85,1442.85,1442.6,1444.3,1757.5,1363.55,21204765,30625970319.2,429803
2024-03-07,EQ,1445.5,1451.05,1441.4,1442.6,1446.0,1446.1,1445.23,1757.5,1363.55,24674023,35659521740.4,301040
2024-03-11,EQ,1430.0,1445.95,1423.0,1446.1,1427.0,1427.8,1431.56,1757.5,1363.55,25265547,36169185792.1,400746
2024-03-12,EQ,1434.0,1464.0,1429.25,1427.8,1460.75,1459.55,1455.21,1757.5,1363.55,32709227,47598903857.45,563469
2024-03-13,EQ,1465.5,1471.6,1450.1,1459.55,1459.7,1460.4,1461.57,1757.5,1363.55,31533727,46088810985.45,555367
2024-03-14,EQ,1462.1,1466.0,1444.3,1460.4,1457.0,1455.45,1452.98,1757.5,1363.55,26216079,38091465327.1,355538
2024-03-15,EQ,1450.0,1459.3,1442.25,1455.45,1454.7,1452.65,1452.16,1757.5,1363.55,71806902,104275232909.4,423259
