Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,range,close_return_pct,blank_notes,source,direction
2025-01-24,EQ,1660.0,1670.3,1644.5,1664.9,1645.0,1649.8,1658.68,1880.0,1363.55,12118100,20100037678.05,271994,25.799999999999955,-0.9069613790618103,,NSE HDFCBANK tutorial export,down
2025-01-27,EQ,1641.1,1643.6,1626.0,1649.8,1629.5,1629.8,1632.37,1880.0,1363.55,11402083,18612439467.95,277125,17.59999999999991,-1.212268153715601,,NSE HDFCBANK tutorial export,down
2025-01-28,EQ,1647.0,1684.3,1647.0,1629.8,1673.3,1670.4,1670.57,1880.0,1363.55,15089656,25208271808.85,350835,37.299999999999955,2.491103202846978,,NSE HDFCBANK tutorial export,up
2025-01-29,EQ,1675.0,1681.15,1668.85,1670.4,1676.0,1677.3,1675.45,1880.0,1363.55,6309945,10571994646.45,196187,12.300000000000182,0.41307471264366846,,NSE HDFCBANK tutorial export,up
2025-01-30,EQ,1681.0,1697.9,1672.55,1677.3,1693.1,1691.5,1685.73,1880.0,1363.55,12872423,21699404205.05,263161,25.350000000000136,0.8465987002921338,,NSE HDFCBANK tutorial export,up
2025-01-31,EQ,1687.25,1704.7,1683.95,1691.5,1699.5,1698.75,1696.52,1880.0,1363.55,7910843,13420873179.4,215938,20.75,0.4286136565178733,,NSE HDFCBANK tutorial export,up
2025-02-01,EQ,1697.5,1713.0,1676.05,1698.75,1692.0,1690.95,1694.22,1880.0,1363.55,2793764,4733238897.95,88839,36.950000000000045,-0.45916114790286455,,NSE HDFCBANK tutorial export,down
2025-02-03,EQ,1670.0,1686.8,1663.45,1690.95,1679.6,1678.0,1679.49,1880.0,1363.55,10138270,17027093333.7,230780,23.34999999999991,-0.7658416866258677,,NSE HDFCBANK tutorial export,down
2025-02-04,EQ,1688.7,1725.8,1680.05,1678.0,1716.3,1720.9,1710.93,1880.0,1363.55,14308251,24480395914.25,342091,45.75,2.5566150178784275,,NSE HDFCBANK tutorial export,up
2025-02-05,EQ,1733.0,1744.2,1718.9,1720.9,1734.8,1737.8,1733.84,1880.0,1363.55,11837753,20524785237.35,275185,25.299999999999955,0.9820442791562467,,NSE HDFCBANK tutorial export,up
2025-02-06,EQ,1735.5,1749.0,1724.0,1737.8,1746.5,1743.85,1735.75,1880.0,1363.55,13380358,23225008521.55,225108,25.0,0.34814132811600285,,NSE HDFCBANK tutorial export,up
2025-02-07,EQ,1750.0,1767.0,1725.0,1743.85,1732.0,1732.75,1744.99,1880.0,1363.55,11754800,20512007682.55,326327,42.0,-0.6365226366946697,,NSE HDFCBANK tutorial export,down
2025-02-10,EQ,1717.3,1723.45,1708.5,1732.75,1716.6,1715.75,1715.57,1880.0,1363.55,8597975,14750390095.15,175150,14.950000000000045,-0.9810994084547664,,NSE HDFCBANK tutorial export,down
2025-02-11,EQ,1703.0,1711.0,1688.7,1715.75,1700.95,1701.4,1700.06,1880.0,1363.55,11362352,19316630388.15,182730,22.299999999999955,-0.8363689348681258,,NSE HDFCBANK tutorial export,down
2025-02-12,EQ,1693.0,1712.0,1681.2,1701.4,1710.65,1706.8,1696.59,1880.0,1363.55,11404785,19349271431.55,286053,30.799999999999955,0.31738568237920095,,NSE HDFCBANK tutorial export,up
2025-02-13,EQ,1699.0,1714.25,1693.55,1706.8,1698.95,1697.7,1702.88,1880.0,1363.55,6301217,10730216799.15,200278,20.700000000000045,-0.533161471760013,,NSE HDFCBANK tutorial export,down
2025-02-14,EQ,1701.9,1701.9,1680.0,1697.7,1694.4,1694.85,1690.46,1880.0,1363.55,9979946,16870660139.45,309031,21.90000000000009,-0.16787418271779764,,NSE HDFCBANK tutorial export,down
2025-02-17,EQ,1685.2,1720.0,1681.25,1694.85,1719.0,1717.35,1702.14,1880.0,1397.3,6469473,11011975039.0,262946,38.75,1.3275511107177618,,NSE HDFCBANK tutorial export,up
2025-02-18,EQ,1713.05,1731.55,1706.15,1717.35,1723.0,1723.05,1721.09,1880.0,1397.3,8175455,14070671116.4,322226,25.399999999999864,0.3319067167438128,,NSE HDFCBANK tutorial export,up
2025-02-19,EQ,1717.0,1737.9,1712.45,1723.05,1725.05,1727.2,1727.42,1880.0,1397.3,5942056,10264454339.75,300603,25.450000000000045,0.2408519775978668,,NSE HDFCBANK tutorial export,up
