zip,path,role,size_bytes
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/,directory,0
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT-04_code_KRG-Calc_MI-Parameters.ipynb,source_notebook,13985
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG-Calc_Post-Trade.ipynb,source_notebook,11050
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG-Calc_Pre-Trade.ipynb,source_notebook,106593
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG-Est_MI-Parameters.ipynb,source_notebook,14675
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG_Calc_TradeCosts.ipynb,source_notebook,180726
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG_Calc_TradersDilemma.ipynb,source_notebook,68573
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG_Est MI Parameters.ipynb,source_notebook,11652
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG_EstMI_NonLinear.ipynb,source_notebook,10605
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_code_KRG_Optimal_POV.ipynb,source_notebook,6408
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_data_MIData_KRG.csv,source_data,11367640
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_other_ Kissell_An Overview of Algorithmic Trading_Draft.pdf,source_pdf,422743
MMT-04-Inclass-Excercise-File.zip,MMT-04 Inclass Excercise File/MMT_04_other_Questions from Presentation Slides_Answers.xlsx,source_spreadsheet,107039
