source,item,value,reading
main_html,file_size_bytes,137627,Week 8-2 DMP-02 Introduction to Object Oriented Programming.html
main_html,html_open,1,structural count
main_html,html_close,1,structural count
main_html,body_open,1,structural count
main_html,body_close,1,structural count
main_html,tables,2,structural count
main_html,code_blocks,7,structural count
main_html,image_tags,1,structural count
main_html,term___init__,10,key OOP/backtest term frequency
main_html,term_self,25,key OOP/backtest term frequency
main_html,term_cls,6,key OOP/backtest term frequency
main_html,term_@classmethod,4,key OOP/backtest term frequency
main_html,term_@staticmethod,2,key OOP/backtest term frequency
main_html,term_inheritance,5,key OOP/backtest term frequency
main_html,term_super,4,key OOP/backtest term frequency
main_html,term_MRO,11,key OOP/backtest term frequency
main_html,term_BacktestingCrossover,3,key OOP/backtest term frequency
main_html,term_moving,0,key OOP/backtest term frequency
main_html,term_crossover,4,key OOP/backtest term frequency
main_html,term_shift,1,key OOP/backtest term frequency
study_html,file_size_bytes,15643,Week 8-2 DMP-02 Introduction to Object Oriented Programming_study.html
study_html,html_open,1,structural count
study_html,html_close,1,structural count
study_html,body_open,1,structural count
study_html,body_close,1,structural count
study_html,tables,2,structural count
study_html,code_blocks,7,structural count
study_html,image_tags,0,structural count
study_html,term___init__,13,key OOP/backtest term frequency
study_html,term_self,34,key OOP/backtest term frequency
study_html,term_cls,6,key OOP/backtest term frequency
study_html,term_@classmethod,4,key OOP/backtest term frequency
study_html,term_@staticmethod,3,key OOP/backtest term frequency
study_html,term_inheritance,2,key OOP/backtest term frequency
study_html,term_super,5,key OOP/backtest term frequency
study_html,term_MRO,5,key OOP/backtest term frequency
study_html,term_BacktestingCrossover,2,key OOP/backtest term frequency
study_html,term_moving,1,key OOP/backtest term frequency
study_html,term_crossover,3,key OOP/backtest term frequency
study_html,term_shift,0,key OOP/backtest term frequency
transcript_text,file_size_bytes,86391,Week 8-2 DMP-02 Introduction to Object Oriented Programming.txt
transcript_text,html_open,0,structural count
transcript_text,html_close,0,structural count
transcript_text,body_open,0,structural count
transcript_text,body_close,0,structural count
transcript_text,tables,0,structural count
transcript_text,code_blocks,0,structural count
transcript_text,image_tags,0,structural count
transcript_text,term___init__,0,key OOP/backtest term frequency
transcript_text,term_self,44,key OOP/backtest term frequency
transcript_text,term_cls,8,key OOP/backtest term frequency
transcript_text,term_@classmethod,0,key OOP/backtest term frequency
transcript_text,term_@staticmethod,0,key OOP/backtest term frequency
transcript_text,term_inheritance,7,key OOP/backtest term frequency
transcript_text,term_super,11,key OOP/backtest term frequency
transcript_text,term_MRO,6,key OOP/backtest term frequency
transcript_text,term_BacktestingCrossover,0,key OOP/backtest term frequency
transcript_text,term_moving,8,key OOP/backtest term frequency
transcript_text,term_crossover,8,key OOP/backtest term frequency
transcript_text,term_shift,2,key OOP/backtest term frequency
practice_notebook_json,file_size_bytes,20566,Week 8-2 DMP-02 Introduction to OOP_practice.ipynb
practice_notebook_json,html_open,0,structural count
practice_notebook_json,html_close,0,structural count
practice_notebook_json,body_open,0,structural count
practice_notebook_json,body_close,0,structural count
practice_notebook_json,tables,0,structural count
practice_notebook_json,code_blocks,0,structural count
practice_notebook_json,image_tags,0,structural count
practice_notebook_json,term___init__,19,key OOP/backtest term frequency
practice_notebook_json,term_self,63,key OOP/backtest term frequency
practice_notebook_json,term_cls,7,key OOP/backtest term frequency
practice_notebook_json,term_@classmethod,5,key OOP/backtest term frequency
practice_notebook_json,term_@staticmethod,3,key OOP/backtest term frequency
practice_notebook_json,term_inheritance,5,key OOP/backtest term frequency
practice_notebook_json,term_super,5,key OOP/backtest term frequency
practice_notebook_json,term_MRO,21,key OOP/backtest term frequency
practice_notebook_json,term_BacktestingCrossover,7,key OOP/backtest term frequency
practice_notebook_json,term_moving,1,key OOP/backtest term frequency
practice_notebook_json,term_crossover,8,key OOP/backtest term frequency
practice_notebook_json,term_shift,1,key OOP/backtest term frequency
