check,value,unit,reading
random_walk_paths,5,paths,Simulated paths use rng seed 42.
random_walk_steps,500,steps,Each simulated path has 500 increments.
random_walk_final_levels,"[66.8, 95.07, 87.31, 83.75, 56.24]",levels,Matches original notebook sequence.
price_autocorr_lag1,0.992979,correlation,High price autocorrelation is not evidence of forecastable returns.
return_autocorr_lag1,-0.082752,correlation,Return lag-1 autocorrelation is near zero.
simple_95_band,0.063226,correlation,Approximate +/-1.96/sqrt(N) band.
nifty_lags_outside_band,8,lags,Correction to prose that says only a couple; shipped CSV has 8 of 15.
nifty_acf_lags_1_5,"[-0.0828, 0.0654, 0.048, -0.0012, 0.163]",correlations,"Scattered signs, no stable AR pattern."
synthetic_ar1_rho,0.3,rho,Deliberately inefficient synthetic comparison.
synthetic_ar1_acf_lags_1_5,"[0.2979, 0.0587, -0.0021, 0.0034, 0.0106]",correlations,Lag 1 is clearly large by design.
