source,item,value,reading
main_html,file_size_bytes,121336,Week 9-1 DMP-03 Object Oriented Programming In Python.html
main_html,html_open,1,structural count
main_html,html_close,1,structural count
main_html,body_open,1,structural count
main_html,body_close,1,structural count
main_html,tables,2,structural count
main_html,code_blocks,5,structural count
main_html,image_tags,1,structural count
main_html,term_efficient market,1,key EMH/vectorized-backtest term frequency
main_html,term_random walk,6,key EMH/vectorized-backtest term frequency
main_html,term_autocorr,4,key EMH/vectorized-backtest term frequency
main_html,term_return,11,key EMH/vectorized-backtest term frequency
main_html,term_log return,2,key EMH/vectorized-backtest term frequency
main_html,term_Sharpe,3,key EMH/vectorized-backtest term frequency
main_html,term_drawdown,7,key EMH/vectorized-backtest term frequency
main_html,term_OLS,14,key EMH/vectorized-backtest term frequency
main_html,term_lag,6,key EMH/vectorized-backtest term frequency
main_html,term_no look-ahead,1,key EMH/vectorized-backtest term frequency
main_html,term_vectorized,5,key EMH/vectorized-backtest term frequency
main_html,term_object-oriented,0,key EMH/vectorized-backtest term frequency
study_html,file_size_bytes,14680,Week 9-1 DMP-03 Object Oriented Programming In Python_study.html
study_html,html_open,1,structural count
study_html,html_close,1,structural count
study_html,body_open,1,structural count
study_html,body_close,1,structural count
study_html,tables,2,structural count
study_html,code_blocks,3,structural count
study_html,image_tags,0,structural count
study_html,term_efficient market,5,key EMH/vectorized-backtest term frequency
study_html,term_random walk,5,key EMH/vectorized-backtest term frequency
study_html,term_autocorr,8,key EMH/vectorized-backtest term frequency
study_html,term_return,27,key EMH/vectorized-backtest term frequency
study_html,term_log return,3,key EMH/vectorized-backtest term frequency
study_html,term_Sharpe,3,key EMH/vectorized-backtest term frequency
study_html,term_drawdown,9,key EMH/vectorized-backtest term frequency
study_html,term_OLS,5,key EMH/vectorized-backtest term frequency
study_html,term_lag,6,key EMH/vectorized-backtest term frequency
study_html,term_no look-ahead,0,key EMH/vectorized-backtest term frequency
study_html,term_vectorized,6,key EMH/vectorized-backtest term frequency
study_html,term_object-oriented,3,key EMH/vectorized-backtest term frequency
transcript_text,file_size_bytes,132421,Week 9-1 DMP-03 Object Oriented Programming In Python.txt
transcript_text,html_open,0,structural count
transcript_text,html_close,0,structural count
transcript_text,body_open,0,structural count
transcript_text,body_close,0,structural count
transcript_text,tables,0,structural count
transcript_text,code_blocks,0,structural count
transcript_text,image_tags,0,structural count
transcript_text,term_efficient market,23,key EMH/vectorized-backtest term frequency
transcript_text,term_random walk,20,key EMH/vectorized-backtest term frequency
transcript_text,term_autocorr,17,key EMH/vectorized-backtest term frequency
transcript_text,term_return,107,key EMH/vectorized-backtest term frequency
transcript_text,term_log return,0,key EMH/vectorized-backtest term frequency
transcript_text,term_Sharpe,2,key EMH/vectorized-backtest term frequency
transcript_text,term_drawdown,29,key EMH/vectorized-backtest term frequency
transcript_text,term_OLS,20,key EMH/vectorized-backtest term frequency
transcript_text,term_lag,30,key EMH/vectorized-backtest term frequency
transcript_text,term_no look-ahead,0,key EMH/vectorized-backtest term frequency
transcript_text,term_vectorized,18,key EMH/vectorized-backtest term frequency
transcript_text,term_object-oriented,0,key EMH/vectorized-backtest term frequency
practice_notebook_json,file_size_bytes,20386,Week 9-1 DMP-03 OOP in Python_practice.ipynb
practice_notebook_json,html_open,0,structural count
practice_notebook_json,html_close,0,structural count
practice_notebook_json,body_open,0,structural count
practice_notebook_json,body_close,0,structural count
practice_notebook_json,tables,0,structural count
practice_notebook_json,code_blocks,0,structural count
practice_notebook_json,image_tags,0,structural count
practice_notebook_json,term_efficient market,3,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_random walk,5,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_autocorr,10,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_return,35,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_log return,5,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_Sharpe,7,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_drawdown,17,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_OLS,15,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_lag,22,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_no look-ahead,1,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_vectorized,7,key EMH/vectorized-backtest term frequency
practice_notebook_json,term_object-oriented,0,key EMH/vectorized-backtest term frequency
