lags,threshold,bars,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct
1,0.0,962,-10.4698,-2.9001,19.3393,-0.149958,-43.0343
1,0.005,962,0.3218,0.0843,19.2476,0.004377,-32.8239
1,0.01,962,-0.1309,-0.0344,19.2572,-0.001784,-35.9779
3,0.0,962,15.3563,3.7461,18.9276,0.197915,-33.2052
3,0.005,962,50.6448,10.7449,18.9097,0.56822,-22.5697
3,0.01,962,61.4032,12.5537,18.5628,0.676283,-21.8835
5,0.0,962,32.7905,7.4368,18.9035,0.393409,-21.0841
5,0.005,962,-14.9184,-4.2365,19.0069,-0.222894,-44.6171
5,0.01,962,50.3637,10.6959,18.3751,0.582087,-18.5131
7,0.0,962,45.6482,9.8604,18.8006,0.524471,-21.6191
7,0.005,962,10.3994,2.5943,18.9051,0.137229,-43.6072
7,0.01,962,85.8063,16.2459,18.5538,0.875607,-22.3415
